id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
93840857-1bab-463e-b614-2b7139d46ce5,Leandro Nascimento,1958-07-24,931.461.667-32,51760263,Moura de Vargas,PB,Brasil,M,+55 (041) 5317-7611,93146166732@exemplo.com.br,2024-01-17
258bea22-5801-48a9-a02f-63c8fa1b2413,Davi Lucas Freitas,1983-01-20,911.206.522-42,69141-981,Duarte,AP,Brasil,M,+55 61 1285-8017,91120652242@exemplo.com.br,2023-12-28
487d4742-90df-4335-8c84-999fd176fb91,Melissa Costa,1970-08-17,349.949.484-67,69776497,Gomes,AL,Brasil,F,+55 (031) 0190-1445,34994948467@exemplo.com.br,2025-07-03
8be14d72-22cc-4d03-97d5-fb6423ddb843,Clarice Monteiro,1977-09-10,257.254.609-75,46602767,Barros,PI,Brasil,M,(011) 0160-3441,25725460975@exemplo.com.br,2025-04-09
ce563bcd-c320-445b-afa5-f919306bf19c,André Borges,1965-10-30,826.961.130-62,81634-421,Fernandes,SE,Brasil,M,84 1052 7911,82696113062@exemplo.com.br,2025-03-04
a24f1d78-a7a8-4436-8201-b8810ffd20b1,Francisco Siqueira,1960-06-27,512.728.480-73,38732-294,da Cunha da Mata,RJ,Brasil,M,+55 31 9154-4374,51272848073@exemplo.com.br,2024-04-14
1cf93f58-3185-4ed8-beba-13a6e8dac606,Sophia Duarte,1936-03-11,603.874.750-76,97628-785,da Mata Verde,CE,Brasil,M,+55 84 3768 4432,60387475076@exemplo.com.br,2025-01-19
e61d5c37-2c0d-4217-9341-13424402bd5b,Aurora Barbosa,1947-12-11,244.723.797-47,90074398,Abreu,PA,Brasil,M,+55 84 8123-2563,24472379747@exemplo.com.br,2024-01-03
cfdb29b7-07f9-4e74-a395-9ef7ff190345,Esther Machado,1948-11-04,191.317.829-27,21968-477,Mendes Alegre,DF,Brasil,F,0500-753-4851,19131782927@exemplo.com.br,2023-08-18
c85c7cb5-1f00-4b8e-b82f-71aa830efe7a,Gustavo Henrique Gonçalves,1979-09-15,140.907.670-44,90949390,da Rocha dos Dourados,RO,Brasil,M,21 3870 2537,14090767044@exemplo.com.br,2025-02-18
8815095e-1a29-44d0-a6b3-439859ae439f,Cecília Moraes,2006-12-25,553.641.295-83,13507033,Rodrigues de Cavalcante,RR,Brasil,M,(021) 3137 4372,55364129583@exemplo.com.br,2025-05-19
c95564f9-3185-401b-870d-c0a72849bc53,Vitor Gabriel da Paz,1972-01-08,853.427.428-81,82373895,Andrade,AM,Brasil,M,0900 254 2648,85342742881@exemplo.com.br,2024-08-02
